# --delay, --selfEvents%, --eventsPerAgent,Link list + vector (insert sort),,Link list + multi_set,,Link list + heap,,Vector + multi_set,,Vector + Heap,,Vector + Vector (std::sort),,"VecVec vs List_list","VecVec vs List_multi_set","VecVec vs List_heap","VecVec vs vec_multiset","VecVec vs vec_heap","VecVec vs VecVec"
#,,, runtime_mean, runtime_sd, runtime_mean, runtime_sd, runtime_mean, runtime_sd,runtime_mean, runtime_sd,runtime_mean, runtime_sd, runtime_mean, runtime_sd,,,,,,
1,0,1,4.36333,0.111455,3.58,0.0571548,3.34333,0.0555778,2.99667,0.103709,2.65667,0.165193,2.48,0.0216025,-0.4316267621,-0.3072625698,-0.2582245845,-0.1724147137,-0.0665005439,0
2,0,1,7.56667,0.0895669,4.91333,0.020548,4.91333,0.077603,4.02667,0.0124722,3.77333,0.0449691,3.65,0.0244949,-0.5176213579,-0.2571229696,-0.2571229696,-0.0935437967,-0.0326846578,0
5,0,1,10.7533,0.0329983,6.76,0.220151,6.44,0.130639,5.36667,0.216692,4.96667,0.0524934,4.28333,0.147045,-0.6016729748,-0.3663713018,-0.334886646,-0.2018644709,-0.1375851426,0
10,0,1,13.25,0.227303,7.2,0.223756,7.25667,0.0946338,5.78333,0.020548,5.50667,0.126842,4.96333,0.0825967,-0.6254090566,-0.3106486111,-0.3160320092,-0.1417868252,-0.0986694318,0
1,0.25,1,4.15333,0.063421,3.38667,0.0793025,3.55,0.0163299,2.75,0.0141421,2.68,0.00816497,2.65,0.108012,-0.3619577544,-0.2175204552,-0.2535211268,-0.0363636364,-0.0111940299,0
2,0.25,1,7.75333,0.0659966,5.28667,0.0939267,4.88,0.0565685,4.25667,0.0865384,3.77,0.0216025,3.48,0.0355903,-0.5511605981,-0.341740642,-0.2868852459,-0.1824595282,-0.0769230769,0
5,0.25,1,11.2233,0.0703957,6.90667,0.269485,6.47667,0.0758654,5.2,0.0355903,5.08,0.094163,4.47333,0.054365,-0.6014247147,-0.3523173975,-0.3093163616,-0.1397442308,-0.1194232283,0
10,0.25,1,13.3633,0.127628,7.62333,0.116142,7.21,0.0828654,5.61,0.0374166,5.25333,0.0825967,4.99333,0.156915,-0.6263400507,-0.344993592,-0.307443828,-0.1099233512,-0.0494924172,0
1,0,2,10.59,0.225536,6.49333,0.062361,6.2,0.304302,4.72,0.0326599,4.44,0.0496655,4.11667,0.0124722,-0.6112681775,-0.3660155883,-0.3360209677,-0.1278241525,-0.0728220721,0
2,0,2,23.34,0.360832,9.13667,0.278608,8.92667,0.00942809,6.90667,0.0124722,6.51,0.0816497,5.74333,0.0169967,-0.7539275921,-0.3713978944,-0.3566100237,-0.1684371774,-0.1177680492,0
5,0,2,42.7833,0.077603,12.1667,0.134743,11.9,0.184572,9.33333,0.020548,8.73333,0.328261,7.42,0.0571548,-0.8265678431,-0.3901386572,-0.3764705882,-0.2049997161,-0.1503813551,0
10,0,2,53.1933,0.90016,13.2967,0.0771722,13.1867,0.169967,9.83333,0.0834,8.99667,0.00942809,8.11667,0.0865384,-0.8474117981,-0.3895726007,-0.3844805751,-0.1745756524,-0.0978139689,0
1,0.25,2,10.6667,0.0612826,6.06333,0.0590668,5.91333,0.0368179,4.75667,0.0942809,4.37,0.0294392,4.05667,0.0368179,-0.619688376,-0.3309501545,-0.3139787565,-0.1471617749,-0.0717002288,0
2,0.25,2,23.13,0.171464,9.10333,0.117851,9.10333,0.306195,6.95667,0.0793025,6.47,0.0725718,5.94,0.0326599,-0.7431906615,-0.3474915223,-0.3474915223,-0.1461431978,-0.0819165379,0
5,0.25,2,44.8867,2.67612,12.4233,0.0368179,11.94,0.235514,9.24333,0.0262467,8.70333,0.209497,7.65667,0.0817856,-0.829422301,-0.3836846893,-0.3587378559,-0.1716545877,-0.1202597167,0
10,0.25,2,54.1867,0.2917,14.2667,0.360216,13.25,0.30474,9.79,0.189912,8.96,0.199499,7.94,0.134907,-0.8534695783,-0.4434592443,-0.400754717,-0.188968335,-0.1138392857,0
1,0,5,64.19,0.11431,14.4867,0.581741,13.8,0.151217,9.77,0.0424264,9.94667,0.160485,7.98,0.0374166,-0.8756815703,-0.4491499099,-0.4217391304,-0.1832139202,-0.1977214485,0
2,0,5,241,6.52826,21.4667,0.419947,20.1967,0.325201,15.4067,0.790879,14.25,0.665132,12.5233,0.0837987,-0.9480360996,-0.4166173655,-0.3799333554,-0.1871523428,-0.1211719298,0
5,0,5,686.567,1.95589,30.1633,1.34844,28.8367,0.8703,21.58,0.235089,21.4067,0.405983,18.8333,0.103387,-0.9725688826,-0.3756220307,-0.3468982234,-0.1272798888,-0.1202146991,0
10,0,5,633.65,2.47584,36.5133,0.557215,35.2067,0.71565,24.41,1.10384,23.4167,0.054365,18.8867,0.351789,-0.9701937978,-0.4827446437,-0.4635481315,-0.2262720197,-0.1934516819,0
1,0.25,5,66.21,2.36315,14.12,0.418171,13.57,0.194422,9.48,0.193046,9.11667,0.139124,8.47667,0.0188562,-0.8719729648,-0.3996692635,-0.3753375092,-0.1058364979,-0.0702010712,0
2,0.25,5,251.157,13.1914,21.15,0.466976,21.9733,0.188385,14.42,0.208327,15.07,0.0216025,12.46,0.113431,-0.9503895969,-0.4108747045,-0.4329481689,-0.1359223301,-0.1731917717,0
5,0.25,5,688.487,1.0206,31.15,0.724293,29.4167,1.41658,21.48,1.13164,21.3033,1.29677,16.9933,0.538537,-0.9753179072,-0.4544686998,-0.4223247339,-0.2088780261,-0.2023160731,0
10,0.25,5,615.217,24.1033,34.35,0.436425,33.6,0.678282,23.4933,0.063421,23.2167,0.0478423,19.0333,0.857995,-0.9690624609,-0.4459010189,-0.4335327381,-0.189841359,-0.1801892603,0
1,0,10,344.587,7.10294,28.4867,0.352357,27.7967,1.15511,20.0033,1.17395,18.9867,0.0758654,16.0433,0.0309121,-0.9534419464,-0.436814373,-0.4228343652,-0.1979673354,-0.1550243065,0
2,0,10,1117.4,30.9056,49.8867,1.30951,44.09,0.413844,30.91,1.29406,31.14,1.46417,25.1033,1.43815,-0.9775341865,-0.4967937346,-0.4306350646,-0.1878582983,-0.1938567759,0
5,0,10,2859.58,15.6304,68.2467,7.55178,60.69,3.30685,48.21,2.79347,45.69,0.184572,41.2667,0.074087,-0.9855689647,-0.3953304702,-0.3200411929,-0.1440219871,-0.0968111184,0
10,0,10,2589.8,10.0366,81.96,0.489149,70.5733,0.932821,51.6967,1.87176,52.4867,0.261449,43.9333,0.450506,-0.9830360259,-0.4639665691,-0.3774798684,-0.1501720613,-0.1629631888,0
1,0.25,10,365.987,0.937277,25.7,1.4779,26.5167,2.50256,19.4267,0.0694422,19.77,0.0355903,15.1933,0.479884,-0.9584867769,-0.4088210117,-0.4270290044,-0.2179165787,-0.231497218,0
2,0.25,10,1152.98,3.17805,48.76,0.0216025,42.0667,4.13752,34.7467,0.00471405,33.1233,0.0124722,27.11,0.0920145,-0.9764870163,-0.4440114848,-0.3555472618,-0.2197820225,-0.1815429018,0
5,0.25,10,2910.54,6.81541,67.66,5.00744,61.6633,5.92323,53.4067,0.83284,46.9267,0.40549,35.4367,2.35715,-0.9878246992,-0.4762533255,-0.4253194364,-0.3364746371,-0.2448499468,0
10,0.25,10,2664.78,7.75142,84.0633,0.181169,62.9533,1.40746,52.0433,0.302141,48.7433,1.36558,42.3167,1.49872,-0.9841200024,-0.4966091029,-0.3278080736,-0.1868943745,-0.1318458127,0
1,0,15,939.15,2.31954,45.2233,5.00161,40.8,3.85391,32.12,0,32.92,0.0216025,23.54,2.36179,-0.9749347815,-0.4794718652,-0.4230392157,-0.2671232877,-0.2849331713,0
2,0,15,2764.39,3.14417,69.07,0.608112,69.05,1.55925,61.43,0.0848528,49.2667,3.30456,46.1967,0.00471405,-0.983288646,-0.3311611409,-0.3309674149,-0.2479781866,-0.0623138956,0
5,0,15,2764.39,3.14417,127.52,0.427629,108.7,0.0432049,77.81,2.67456,77.4967,0.00942809,62.97,0.0707107,-0.9772210144,-0.5061951066,-0.420699172,-0.190720987,-0.187449272,0
10,0,15,2764.39,3.14417,114.31,3.33255,99.33,3.00554,83.96,5.22158,67.3433,5.82967,62.3767,4.09888,-0.9774356368,-0.454319832,-0.3720255713,-0.2570664602,-0.0737504696,0
1,0.25,15,928.94,9.75435,42.15,2.48923,38.0533,0.111156,27.6933,2.87061,31.75,0.113431,22.92,2.27439,-0.9753267165,-0.456227758,-0.3976869286,-0.1723629903,-0.2781102362,0
2,0.25,15,2755.09,9.93551,66.4433,1.97518,76.69,1.6472,48.1967,1.22097,55.8633,0.133,45.4433,0.0124722,-0.9835056931,-0.3160589555,-0.4074416482,-0.0571283926,-0.1865267537,0
5,0.25,15,2755.09,9.93551,127.697,1.15014,93.2133,0.289866,74.2367,7.46528,75.9333,1.89542,53.58,5.014,-0.9805523595,-0.5804130089,-0.4251893238,-0.278254556,-0.2943807262,0
10,0.25,15,2755.09,9.93551,121.92,1.84859,97.3833,3.10673,85.89,6.27913,81.38,0.00816497,61.5667,7.82297,-0.9776534705,-0.4950237861,-0.3677899599,-0.2831912912,-0.2434664537,0
1,0,20,1622.24,3.52051,67.9333,0.0124722,54.58,3.37409,47.79,0.292233,43.46,0.855258,36.7767,0.266625,-0.9773296799,-0.4586351613,-0.3261872481,-0.2304519774,-0.1537804878,0
2,0,20,1622.24,3.52051,116.403,0.49493,106.04,4.9906,73.2767,2.63945,67.9267,8.2577,62.9433,0.063421,-0.9611997608,-0.4592639365,-0.4064192757,-0.1410189051,-0.0733643766,0
5,0,20,1622.24,3.52051,153.93,8.8911,136.243,9.74993,123.587,0.359753,111.44,2.83056,91.3933,0.0188562,-0.9436622818,-0.4062671344,-0.3291890226,-0.2604942267,-0.179887832,0
10,0,20,1622.24,3.52051,193.62,0.428719,150.423,15.535,129.75,0.905097,117.913,0.436068,98.0167,0.122293,-0.9395794087,-0.4937676893,-0.3483928655,-0.2445726397,-0.1687371197,0
1,0.25,20,1627.68,35.0014,55.2333,3.08535,51.4867,1.14316,43.9667,0.230988,43.5067,1.7442,32.29,3.56536,-0.9801619483,-0.4153889049,-0.3728477451,-0.2655805416,-0.2578154629,0
2,0.25,20,1627.68,35.0014,115.94,0.233381,108.97,1.0536,82.1667,0.20854,62.34,7.55918,59.2133,2.84507,-0.9636210434,-0.4892763498,-0.4566091585,-0.2793516108,-0.0501555983,0
5,0.25,20,1627.68,35.0014,175.507,0.428978,151.247,0.112645,111.357,5.24909,108.28,0.00816497,75.0367,4.40292,-0.9538995994,-0.5724575088,-0.5038797464,-0.3261609059,-0.3070123753,0
10,0.25,20,1627.68,35.0014,191.437,1.28961,159.88,0.703468,127.34,1.02072,108.757,12.1599,85.43,8.32265,-0.9475142534,-0.5537435292,-0.4656617463,-0.3291188943,-0.2144873433,0
