# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, topCancl_mean, topCancl_sd, topCancl_ci, topCancl_ci, topCancl_min, topCancl_box_q1, topCancl_median, topCancl_box_q2, topCancl_max, ladCancl_mean, ladCancl_sd, ladCancl_ci, ladCancl_ci, ladCancl_min, ladCancl_box_q1, ladCancl_median, ladCancl_box_q2, ladCancl_max, botCancl_mean, botCancl_sd, botCancl_ci, botCancl_ci, botCancl_min, botCancl_box_q1, botCancl_median, botCancl_box_q2, botCancl_max, topScan_mean, topScan_sd, topScan_ci, topScan_ci, topScan_min, topScan_box_q1, topScan_median, topScan_box_q2, topScan_max, ladScan_mean, ladScan_sd, ladScan_ci, ladScan_ci, ladScan_min, ladScan_box_q1, ladScan_median, ladScan_box_q2, ladScan_max, botScan_mean, botScan_sd, botScan_ci, botScan_ci, botScan_min, botScan_box_q1, botScan_median, botScan_box_q2, botScan_max, topIns_mean, topIns_sd, topIns_ci, topIns_ci, topIns_min, topIns_box_q1, topIns_median, topIns_box_q2, topIns_max, ladIns_mean, ladIns_sd, ladIns_ci, ladIns_ci, ladIns_min, ladIns_box_q1, ladIns_median, ladIns_box_q2, ladIns_max, botIns_mean, botIns_sd, botIns_ci, botIns_ci, botIns_min, botIns_box_q1, botIns_median, botIns_box_q2, botIns_max, rungs_mean, rungs_sd, rungs_ci, rungs_ci, rungs_min, rungs_box_q1, rungs_median, rungs_box_q2, rungs_max, bktRung_mean, bktRung_sd, bktRung_ci, bktRung_ci, bktRung_min, bktRung_box_q1, bktRung_median, bktRung_box_q2, bktRung_max, botSize_mean, botSize_sd, botSize_ci, botSize_ci, botSize_min, botSize_box_q1, botSize_median, botSize_box_q2, botSize_max, bktSize_mean, bktSize_sd, bktSize_ci, bktSize_ci, bktSize_min, bktSize_box_q1, bktSize_median, bktSize_box_q2, bktSize_max
Fri Dec 30 19:42:59 EST 2016, 0, 0.000, 1, 0.6, 0.0835464, 0.541137, 0.658863, 0.50, 0.55, 0.595, 0.70, 0.76, 38648, 8, 38642.4, 38653.6, 38640, 38640, 38656, 38656, 38656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499000, 0, 499000, 499000, 499000, 499000, 499000, 499000, 499000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1000, 0, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Dec 30 19:44:02 EST 2016, 1, 0.000, 1, 0.361, 0.0590678, 0.319383, 0.402617, 0.32, 0.32, 0.345, 0.45, 0.50, 37275.2, 7.33212, 37270, 37280.4, 37264, 37264, 37280, 37280, 37280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33997, 0, 33997, 33997, 33997, 33997, 33997, 33997, 33997, 162927, 0, 162927, 162927, 162927, 162927, 162927, 162927, 162927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1.00509, 1.49012e-08, 1.00509, 1.00509, 1.00509, 1.00509, 1.00509, 1.00509, 1.00509, 394.637, 0, 394.637, 394.637, 394.637, 394.637, 394.637, 394.637, 394.637, 1.00016, 2.58096e-08, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016
Fri Dec 30 19:45:04 EST 2016, 2, 0.000, 1, 0.541, 0.0834805, 0.482183, 0.599817, 0.42, 0.48, 0.565, 0.63, 0.67, 37862.4, 7.83837, 37856.9, 37867.9, 37856, 37856, 37864, 37872, 37872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66000, 0, 66000, 66000, 66000, 66000, 66000, 66000, 66000, 250045, 0, 250045, 250045, 250045, 250045, 250045, 250045, 250045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1.00271, 2.58096e-08, 1.00271, 1.00271, 1.00271, 1.00271, 1.00271, 1.00271, 1.00271, 633.357, 7.62939e-06, 633.357, 633.357, 633.357, 633.357, 633.357, 633.357, 633.357, 1.00017, 2.10734e-08, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017
Fri Dec 30 19:46:06 EST 2016, 4, 0.000, 1, 0.657, 0.141142, 0.557558, 0.756442, 0.51, 0.52, 0.69, 0.79, 0.93, 38331.2, 10.245, 38324, 38338.4, 38320, 38320, 38336, 38336, 38352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120867, 0, 120867, 120867, 120867, 120867, 120867, 120867, 120867, 310778, 0, 310778, 310778, 310778, 310778, 310778, 310778, 310778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 865.02, 1.86881e-05, 865.02, 865.02, 865.02, 865.02, 865.02, 865.02, 865.02, 1.00013, 1.49012e-08, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013
Fri Dec 30 19:47:08 EST 2016, 8, 0.000, 1, 0.637, 0.101887, 0.565215, 0.708785, 0.51, 0.56, 0.625, 0.76, 0.84, 38548.8, 7.33212, 38543.6, 38554, 38544, 38544, 38544, 38560, 38560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226976, 0, 226976, 226976, 226976, 226976, 226976, 226976, 226976, 263014, 0, 263014, 263014, 263014, 263014, 263014, 263014, 263014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 981.944, 2.6429e-05, 981.944, 981.944, 981.944, 981.944, 981.944, 981.944, 981.944, 1.00007, 1.49012e-08, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007
Fri Dec 30 19:48:09 EST 2016, 0, 0.250, 1, 0.594, 0.0913455, 0.529642, 0.658358, 0.51, 0.52, 0.61, 0.70, 0.73, 35510.4, 7.83837, 35504.9, 35515.9, 35504, 35504, 35512, 35520, 35520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499000, 0, 499000, 499000, 499000, 499000, 499000, 499000, 499000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1000, 0, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Dec 30 19:49:11 EST 2016, 1, 0.250, 1, 0.434, 0.0749933, 0.381163, 0.486837, 0.37, 0.37, 0.43, 0.55, 0.59, 35688, 10.7331, 35680.4, 35695.6, 35680, 35680, 35688, 35696, 35712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32999, 0, 32999, 32999, 32999, 32999, 32999, 32999, 32999, 163825, 0, 163825, 163825, 163825, 163825, 163825, 163825, 163825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1.00415, 2.58096e-08, 1.00415, 1.00415, 1.00415, 1.00415, 1.00415, 1.00415, 1.00415, 394.437, 7.62939e-06, 394.437, 394.437, 394.437, 394.437, 394.437, 394.437, 394.437, 1.00016, 2.58096e-08, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016
Fri Dec 30 19:50:13 EST 2016, 2, 0.250, 1, 0.572, 0.0965194, 0.503997, 0.640003, 0.44, 0.48, 0.62, 0.68, 0.72, 35768, 8, 35762.4, 35773.6, 35760, 35760, 35776, 35776, 35776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64853, 0, 64853, 64853, 64853, 64853, 64853, 64853, 64853, 251172, 0, 251172, 251172, 251172, 251172, 251172, 251172, 251172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1.00067, 2.58096e-08, 1.00067, 1.00067, 1.00067, 1.00067, 1.00067, 1.00067, 1.00067, 633.317, 0, 633.317, 633.317, 633.317, 633.317, 633.317, 633.317, 633.317, 1.00017, 2.10734e-08, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017
Fri Dec 30 19:51:17 EST 2016, 4, 0.250, 1, 0.765, 0.196074, 0.626855, 0.903145, 0.53, 0.54, 0.86, 0.97, 1.05, 35892.8, 7.33212, 35887.6, 35898, 35888, 35888, 35888, 35904, 35904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117000, 0, 117000, 117000, 117000, 117000, 117000, 117000, 117000, 314683, 0, 314683, 314683, 314683, 314683, 314683, 314683, 314683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1.00188, 1.49012e-08, 1.00188, 1.00188, 1.00188, 1.00188, 1.00188, 1.00188, 1.00188, 865.096, 2.41263e-05, 865.096, 865.096, 865.096, 865.096, 865.096, 865.096, 865.096, 1.00013, 1.49012e-08, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013
Fri Dec 30 19:52:19 EST 2016, 8, 0.250, 1, 0.694, 0.137201, 0.597334, 0.790666, 0.53, 0.57, 0.755, 0.85, 0.91, 35878.4, 7.83837, 35872.9, 35883.9, 35872, 35872, 35880, 35888, 35888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223984, 0, 223984, 223984, 223984, 223984, 223984, 223984, 223984, 266023, 0, 266023, 266023, 266023, 266023, 266023, 266023, 266023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1, 0, 1, 1, 1, 1, 1, 1, 1, 981.978, 2.15792e-05, 981.978, 981.978, 981.978, 981.978, 981.978, 981.978, 981.978, 1.00007, 1.49012e-08, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007
Fri Dec 30 19:53:20 EST 2016, 0, 0.500, 1, 0.551, 0.0779038, 0.496112, 0.605888, 0.48, 0.48, 0.565, 0.64, 0.69, 35206.4, 7.83837, 35200.9, 35211.9, 35200, 35200, 35208, 35216, 35216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499000, 0, 499000, 499000, 499000, 499000, 499000, 499000, 499000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1000, 0, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Dec 30 19:54:22 EST 2016, 1, 0.500, 1, 0.471, 0.0564712, 0.431213, 0.510787, 0.40, 0.44, 0.465, 0.57, 0.58, 35478.4, 10.6132, 35470.9, 35485.9, 35472, 35472, 35472, 35488, 35504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33994, 0, 33994, 33994, 33994, 33994, 33994, 33994, 33994, 162827, 0, 162827, 162827, 162827, 162827, 162827, 162827, 162827, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1.00416, 2.10734e-08, 1.00416, 1.00416, 1.00416, 1.00416, 1.00416, 1.00416, 1.00416, 394.431, 5.3948e-06, 394.431, 394.431, 394.431, 394.431, 394.431, 394.431, 394.431, 1.00016, 2.58096e-08, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016, 1.00016
Fri Dec 30 19:55:25 EST 2016, 2, 0.500, 1, 0.518, 0.0850647, 0.458067, 0.577933, 0.45, 0.46, 0.475, 0.64, 0.67, 35622.4, 10.6132, 35614.9, 35629.9, 35616, 35616, 35616, 35632, 35648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64874, 0, 64874, 64874, 64874, 64874, 64874, 64874, 64874, 251174, 0, 251174, 251174, 251174, 251174, 251174, 251174, 251174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 7, 7, 1.00067, 2.58096e-08, 1.00067, 1.00067, 1.00067, 1.00067, 1.00067, 1.00067, 1.00067, 633.363, 1.52588e-05, 633.363, 633.363, 633.363, 633.363, 633.363, 633.363, 633.363, 1.00017, 2.10734e-08, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017, 1.00017
Fri Dec 30 19:56:27 EST 2016, 4, 0.500, 1, 0.672, 0.16005, 0.559236, 0.784764, 0.55, 0.56, 0.59, 0.89, 0.97, 35598.4, 8.61626, 35592.3, 35604.5, 35584, 35600, 35600, 35600, 35616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118985, 0, 118985, 118985, 118985, 118985, 118985, 118985, 118985, 312750, 0, 312750, 312750, 312750, 312750, 312750, 312750, 312750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1.00096, 2.10734e-08, 1.00096, 1.00096, 1.00096, 1.00096, 1.00096, 1.00096, 1.00096, 865.2, 0, 865.2, 865.2, 865.2, 865.2, 865.2, 865.2, 865.2, 1.00013, 1.49012e-08, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013, 1.00013
Fri Dec 30 19:57:28 EST 2016, 8, 0.500, 1, 0.637, 0.0701498, 0.587576, 0.686424, 0.57, 0.58, 0.615, 0.73, 0.77, 35608, 8, 35602.4, 35613.6, 35600, 35600, 35616, 35616, 35616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217999, 0, 217999, 217999, 217999, 217999, 217999, 217999, 217999, 271977, 0, 271977, 271977, 271977, 271977, 271977, 271977, 271977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1.00395, 1.49012e-08, 1.00395, 1.00395, 1.00395, 1.00395, 1.00395, 1.00395, 1.00395, 981.916, 1.52588e-05, 981.916, 981.916, 981.916, 981.916, 981.916, 981.916, 981.916, 1.00007, 1.49012e-08, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007, 1.00007
Fri Dec 30 19:58:30 EST 2016, 0, 0.000, 2, 0.954, 0.0471593, 0.920774, 0.987226, 0.86, 0.93, 0.955, 1.01, 1.03, 40043.2, 10.245, 40036, 40050.4, 40032, 40032, 40048, 40048, 40064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 998000, 0, 998000, 998000, 998000, 998000, 998000, 998000, 998000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2000, 0, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Dec 30 19:59:32 EST 2016, 1, 0.000, 2, 0.581, 0.0779038, 0.526112, 0.635888, 0.45, 0.48, 0.625, 0.64, 0.65, 37880, 10.7331, 37872.4, 37887.6, 37872, 37872, 37880, 37888, 37904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61716, 0, 61716, 61716, 61716, 61716, 61716, 61716, 61716, 331582, 0, 331582, 331582, 331582, 331582, 331582, 331582, 331582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1.00114, 2.10734e-08, 1.00114, 1.00114, 1.00114, 1.00114, 1.00114, 1.00114, 1.00114, 788.172, 0, 788.172, 788.172, 788.172, 788.172, 788.172, 788.172, 788.172, 1.00009, 1.49012e-08, 1.00009, 1.00009, 1.00009, 1.00009, 1.00009, 1.00009, 1.00009
Fri Dec 30 20:00:35 EST 2016, 2, 0.000, 2, 1.028, 0.268805, 0.838612, 1.21739, 0.68, 0.72, 1.16, 1.19, 1.55, 38956.8, 31.8396, 38934.4, 38979.2, 38864, 38960, 38968, 38976, 38976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123963, 0, 123963, 123963, 123963, 123963, 123963, 123963, 123963, 508314, 0, 508314, 508314, 508314, 508314, 508314, 508314, 508314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 6, 6, 6, 6, 6, 6, 1.00133, 1.49012e-08, 1.00133, 1.00133, 1.00133, 1.00133, 1.00133, 1.00133, 1.00133, 1267.09, 0, 1267.09, 1267.09, 1267.09, 1267.09, 1267.09, 1267.09, 1267.09, 1.00008, 2.58096e-08, 1.00008, 1.00008, 1.00008, 1.00008, 1.00008, 1.00008, 1.00008
