# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Wed May 17 22:03:34 EDT 2017, 1, 1, 0.250, 1, 3.644, 0.216527, 3.49144, 3.79656, 3.27, 3.56, 3.695, 3.89, 4.03, 133833, 4.01995, 133830, 133836, 133828, 133832, 133832, 133836, 133844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971875, 0, 1971875, 1971875, 1971875, 1971875, 1971875, 1971875, 1971875, 1.58549e+08, 1.1967e+06, 1.57706e+08, 1.59392e+08, 156738128, 157302755, 158878539, 159735963, 160694895, 6.21576e+06, 3.99905e+06, 3.39821e+06, 9.03331e+06, 2713771, 2908883, 7030778, 11239914, 11269583, 1.58549e+08, 1.1967e+06, 1.57706e+08, 1.59392e+08, 156738128, 157302755, 158878539, 159735963, 160694895, 6.21576e+06, 3.99905e+06, 3.39821e+06, 9.03331e+06, 2713771, 2908883, 7030778, 11239914, 11269583, 7.39674e+09, 2.1667e+08, 7.24408e+09, 7.5494e+09, 7098775075, 7178488442, 7.44743e+09, 7692473475, 7697783266, 5.58002e+09, 6.36729e+07, 5.53516e+09, 5.62488e+09, 5479341972, 5550481362, 5589720026, 5592919095, 5736029732, 9.86362e+08, 1.33486e+07, 9.76957e+08, 9.95767e+08, 965356782, 980561628, 987995394, 988986643, 1019801978, 19418453, 1.64213e+06, 1.82615e+07, 2.05754e+07, 18088193, 18204851, 1.94365e+07, 20475423, 23475998, 9.86362e+08, 1.33486e+07, 9.76957e+08, 9.95767e+08, 965356782, 980561628, 987995394, 988986643, 1019801978, 19418453, 1.64213e+06, 1.82615e+07, 2.05754e+07, 18088193, 18204851, 1.94365e+07, 20475423, 23475998
Wed May 17 22:04:36 EDT 2017, 1, 10, 0.250, 1, 6.651, 0.322659, 6.42367, 6.87833, 6.22, 6.38, 6.705, 7.13, 7.2, 321540, 2.15406, 321538, 321542, 321536, 321540, 321540, 321544, 321544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4966077, 0, 4966077, 4966077, 4966077, 4966077, 4966077, 4966077, 4966077, 2.48632e+08, 986257, 2.47937e+08, 2.49327e+08, 247001420, 247924179, 2.48744e+08, 249961092, 250071007, 1.33542e+07, 8.00128e+06, 7.71685e+06, 1.89915e+07, 6087584, 6824986, 1.51726e+07, 23379627, 23490357, 2.48632e+08, 986257, 2.47937e+08, 2.49327e+08, 247001420, 247924179, 2.48744e+08, 249961092, 250071007, 1.33542e+07, 8.00128e+06, 7.71685e+06, 1.89915e+07, 6087584, 6824986, 1.51726e+07, 23379627, 23490357, 14731515095, 3.12054e+08, 1.45117e+10, 1.49514e+10, 14258762379, 14537994897, 1.47985e+10, 15145803663, 15292354194, 1.16279e+10, 6.43513e+07, 1.15826e+10, 1.16732e+10, 11556687822, 11597494640, 11626435218, 11649552370, 11803375597, 2.01078e+09, 1.31279e+07, 2.00153e+09, 2.02003e+09, 1996179330, 2003113591, 2011187496, 2014508886, 2046132927, 41926272, 3.70137e+06, 3.93185e+07, 4.45341e+07, 38593538, 39212518, 41844855, 46330181, 50366815, 2.01078e+09, 1.31279e+07, 2.00153e+09, 2.02003e+09, 1996179330, 2003113591, 2011187496, 2014508886, 2046132927, 41926272, 3.70137e+06, 3.93185e+07, 4.45341e+07, 38593538, 39212518, 41844855, 46330181, 50366815
Wed May 17 22:05:39 EDT 2017, 1, 1, 0.250, 2, 5.854, 0.288243, 5.65092, 6.05708, 5.46, 5.58, 5.945, 6.24, 6.27, 257097, 2.4, 257095, 257099, 257092, 257096, 257096, 257100, 257100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 3936670, 0, 3936670, 3936670, 3936670, 3936670, 3936670, 3936670, 3936670, 2.24109e+08, 919721, 2.23461e+08, 2.24757e+08, 222583810, 223389222, 224291219, 225363986, 225770166, 1.69585e+07, 8.60973e+06, 1.08925e+07, 2.30245e+07, 6077216, 7353948, 20155422, 27231643, 27739245, 2.24109e+08, 919721, 2.23461e+08, 2.24757e+08, 222583810, 223389222, 224291219, 225363986, 225770166, 1.69585e+07, 8.60973e+06, 1.08925e+07, 2.30245e+07, 6077216, 7353948, 20155422, 27231643, 27739245, 1.25665e+10, 4.48385e+08, 1.22506e+10, 1.28824e+10, 12027153343, 12230491583, 12685773056, 13221543676, 13222068064, 9382353229, 4.25698e+07, 9.35236e+09, 9.41235e+09, 9323766887, 9369248823, 9377937117, 9381413247, 9500615588, 1.62417e+09, 8.3257e+06, 1.6183e+09, 1.63004e+09, 1613590633, 1621329423, 1623132675, 1624043891, 1647655578, 33197523, 2.71147e+06, 3.12871e+07, 3.51079e+07, 30021213, 30059412, 3.3606e+07, 34337146, 39620379, 1.62417e+09, 8.3257e+06, 1.6183e+09, 1.63004e+09, 1613590633, 1621329423, 1623132675, 1624043891, 1647655578, 33197523, 2.71147e+06, 3.12871e+07, 3.51079e+07, 30021213, 30059412, 3.3606e+07, 34337146, 39620379
Wed May 17 22:06:46 EDT 2017, 1, 10, 0.250, 2, 9.896, 0.588629, 9.48128, 10.3107, 9.25, 9.32, 10.065, 10.61, 10.78, 632744, 612.005, 632313, 633175, 632536, 632540, 632540, 632544, 634580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 9931339, 0, 9931339, 9931339, 9931339, 9931339, 9931339, 9931339, 9931339, 3.44935e+08, 1.6609e+06, 3.43765e+08, 3.46105e+08, 342516958, 343668723, 345226928, 347104163, 348174519, 2.84462e+07, 1.73731e+07, 1.62059e+07, 4.06865e+07, 13994951, 14104459, 3.14725e+07, 49769358, 51506217, 3.44935e+08, 1.6609e+06, 3.43765e+08, 3.46105e+08, 342516958, 343668723, 345226928, 347104163, 348174519, 2.84462e+07, 1.73731e+07, 1.62059e+07, 4.06865e+07, 13994951, 14104459, 3.14725e+07, 49769358, 51506217, 2.27539e+10, 9.25375e+08, 2.21019e+10, 2.34059e+10, 21592393514, 21741703046, 2.31418e+10, 23879098890, 24151485161, 1.83535e+10, 1.77701e+07, 1.8341e+10, 1.8366e+10, 18305365663, 18354683226, 1.83609e+10, 18366142656, 18366743240, 3164640275, 3.11345e+06, 3.16245e+09, 3.16683e+09, 3156621635, 3164015124, 3166333322, 3166883641, 3167388000, 6.57997e+07, 5.65887e+06, 6.18127e+07, 6.97867e+07, 58341305, 63563919, 6.45638e+07, 73313471, 74843846, 3164640275, 3.11345e+06, 3.16245e+09, 3.16683e+09, 3156621635, 3164015124, 3166333322, 3166883641, 3167388000, 6.57997e+07, 5.65887e+06, 6.18127e+07, 6.97867e+07, 58341305, 63563919, 6.45638e+07, 73313471, 74843846
Wed May 17 22:07:49 EDT 2017, 1, 1, 0.250, 5, 10.707, 0.793033, 10.1483, 11.2657, 9.49, 9.82, 11.08, 11.59, 11.61, 627052, 1.78886, 627051, 627053, 627048, 627052, 627052, 627052, 627056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442302, 0, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 9839071, 0, 9839071, 9839071, 9839071, 9839071, 9839071, 9839071, 9839071, 3.64838e+08, 2.03524e+06, 3.63404e+08, 3.66272e+08, 361831798, 363413369, 3.64508e+08, 367331231, 368701762, 5.33396e+07, 2.6432e+07, 3.47168e+07, 7.19624e+07, 12095710, 21130431, 65790392, 81606985, 82343449, 3.64838e+08, 2.03524e+06, 3.63404e+08, 3.66272e+08, 361831798, 363413369, 3.64508e+08, 367331231, 368701762, 5.33396e+07, 2.6432e+07, 3.47168e+07, 7.19624e+07, 12095710, 21130431, 65790392, 81606985, 82343449, 2.43838e+10, 1.38661e+09, 2.34069e+10, 2.53607e+10, 22182647585, 23205589597, 24958228536, 26038019314, 26055957183, 1.82839e+10, 1.61556e+07, 1.82725e+10, 1.82953e+10, 18245904479, 18279295718, 1.82904e+10, 18298376135, 18304236919, 3.13131e+09, 3.67205e+06, 3.12872e+09, 3.1339e+09, 3121019165, 3131567142, 3.13267e+09, 3133633400, 3135040354, 6.74251e+07, 4.81607e+06, 6.40319e+07, 7.08183e+07, 62821018, 63332077, 69573658, 70026353, 78605281, 3.13131e+09, 3.67205e+06, 3.12872e+09, 3.1339e+09, 3121019165, 3131567142, 3.13267e+09, 3133633400, 3135040354, 6.74251e+07, 4.81607e+06, 6.40319e+07, 7.08183e+07, 62821018, 63332077, 69573658, 70026353, 78605281
Wed May 17 22:08:56 EDT 2017, 1, 10, 0.250, 5, 17.134, 1.04664, 16.3966, 17.8714, 15.44, 15.84, 17.605, 18.16, 18.46, 1.56394e+06, 1.83299, 1.56394e+06, 1.56394e+06, 1563936, 1563936, 1563940, 1563940, 1563940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998353, 0, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 24826711, 0, 24826711, 24826711, 24826711, 24826711, 24826711, 24826711, 24826711, 5.20544e+08, 2.31314e+06, 5.18914e+08, 5.22174e+08, 516103853, 519646114, 5.21396e+08, 523173371, 523260218, 7.31197e+07, 3.10801e+07, 5.1222e+07, 9.50174e+07, 27753890, 33859265, 8.7894e+07, 106850147, 107293495, 5.20544e+08, 2.31314e+06, 5.18914e+08, 5.22174e+08, 516103853, 519646114, 5.21396e+08, 523173371, 523260218, 7.31197e+07, 3.10801e+07, 5.1222e+07, 9.50174e+07, 27753890, 33859265, 8.7894e+07, 106850147, 107293495, 3.95879e+10, 1.57162e+09, 3.84806e+10, 4.06952e+10, 37351941171, 37860494494, 4.00755e+10, 41333575988, 41808522530, 3.45019e+10, 3.76524e+07, 3.44754e+10, 3.45284e+10, 34421929854, 34488651072, 34522057128, 34528293470, 34539864556, 5.9766e+09, 8.84784e+06, 5.97037e+09, 5.98283e+09, 5957282453, 5976762818, 5.98003e+09, 5983703591, 5986875495, 9.50826e+07, 3.04194e+06, 9.29394e+07, 9.72258e+07, 91239190, 91563945, 97158539, 98191121, 98425164, 5.9766e+09, 8.84784e+06, 5.97037e+09, 5.98283e+09, 5957282453, 5976762818, 5.98003e+09, 5983703591, 5986875495, 9.50826e+07, 3.04194e+06, 9.29394e+07, 9.72258e+07, 91239190, 91563945, 97158539, 98191121, 98425164
Wed May 17 22:09:59 EDT 2017, 1, 1, 0.250, 10, 16.649, 1.58935, 15.5292, 17.7688, 15.26, 15.36, 16.845, 18.7, 18.76, 1.24233e+06, 4.17609, 1.24233e+06, 1.24233e+06, 1242328, 1242328, 1242332, 1242336, 1242340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4939688, 0, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 19669618, 0, 19669618, 19669618, 19669618, 19669618, 19669618, 19669618, 19669618, 5.46264e+08, 3.068e+06, 5.44102e+08, 5.48426e+08, 542997692, 543671872, 546192581, 548423993, 553988034, 9.76451e+07, 5.3208e+07, 6.01571e+07, 1.35133e+08, 53602812, 54216864, 1.08094e+08, 163567096, 164176614, 5.46264e+08, 3.068e+06, 5.44102e+08, 5.48426e+08, 542997692, 543671872, 546192581, 548423993, 553988034, 9.76451e+07, 5.3208e+07, 6.01571e+07, 1.35133e+08, 53602812, 54216864, 1.08094e+08, 163567096, 164176614, 3.9161e+10, 2.92264e+09, 3.71018e+10, 4.12202e+10, 36511418076, 36736219873, 39553958043, 43018461905, 43072833862, 3.01781e+10, 1.77192e+07, 3.01656e+10, 3.01906e+10, 30156461300, 30166829249, 30180176106, 30190301090, 30221445987, 5.18377e+09, 3.27715e+06, 5.18146e+09, 5.18608e+09, 5178104856, 5183119719, 5.18388e+09, 5186522646, 5190051929, 1.13544e+08, 5.43484e+06, 1.09715e+08, 1.17373e+08, 106962060, 108390695, 113924749, 121524892, 123536970, 5.18377e+09, 3.27715e+06, 5.18146e+09, 5.18608e+09, 5178104856, 5183119719, 5.18388e+09, 5186522646, 5190051929, 1.13544e+08, 5.43484e+06, 1.09715e+08, 1.17373e+08, 106962060, 108390695, 113924749, 121524892, 123536970
Wed May 17 22:11:16 EDT 2017, 1, 10, 0.250, 10, 28.166, 4.36832, 25.0883, 31.2437, 24.39, 24.58, 28.575, 33.96, 34.31, 3097356, 25511, 3.07938e+06, 3.11533e+06, 3052460, 3076388, 3115908, 3115912, 3115912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 49652606, 0, 49652606, 49652606, 49652606, 49652606, 49652606, 49652606, 49652606, 6.26475e+08, 3.94413e+06, 6.23696e+08, 6.29254e+08, 620139964, 623871898, 627223608, 631524298, 633247444, 1.06438e+08, 4.56473e+07, 7.42769e+07, 1.38599e+08, 68751253, 69165625, 115505462, 163269218, 163690857, 6.26475e+08, 3.94413e+06, 6.23696e+08, 6.29254e+08, 620139964, 623871898, 627223608, 631524298, 633247444, 1.06438e+08, 4.56473e+07, 7.42769e+07, 1.38599e+08, 68751253, 69165625, 115505462, 163269218, 163690857, 6.24074e+10, 3.07969e+09, 6.02376e+10, 6.45772e+10, 59327903104, 59846813336, 6.24099e+10, 66838342138, 67254971724, 6.16839e+10, 9.79851e+08, 6.09935e+10, 6.23743e+10, 61087714553, 61117742683, 61413227902, 62287787264, 64396679962, 1.07394e+10, 2.07357e+08, 1.05933e+10, 1.08855e+10, 10610820534, 10617370181, 1.06869e+10, 10866089890, 11312231368, 156104697, 1.28377e+07, 1.4706e+08, 1.6515e+08, 147770205, 149504021, 1.55041e+08, 155317614, 193683026, 1.07394e+10, 2.07357e+08, 1.05933e+10, 1.08855e+10, 10610820534, 10617370181, 1.06869e+10, 10866089890, 11312231368, 156104697, 1.28377e+07, 1.4706e+08, 1.6515e+08, 147770205, 149504021, 1.55041e+08, 155317614, 193683026
Wed May 17 22:12:09 EDT 2017, 1, 1, 0.250, 15, 22.181, 1.61491, 21.0432, 23.3188, 18.97, 21.24, 23.11, 23.74, 23.86, 1.8573e+06, 1.60017, 1.8573e+06, 1.8573e+06, 1857296, 1857300, 1857300, 1857300, 1857300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4992618, 0, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 29504593, 0, 29504593, 29504593, 29504593, 29504593, 29504593, 29504593, 29504593, 6.71912e+08, 5.58507e+06, 6.67977e+08, 6.75847e+08, 667118133, 668438310, 6.70141e+08, 676419104, 685888068, 1.4785e+08, 5.89554e+07, 1.06313e+08, 1.89387e+08, 38387868, 80429703, 179753779, 205527766, 205998659, 6.71912e+08, 5.58507e+06, 6.67977e+08, 6.75847e+08, 667118133, 668438310, 6.70141e+08, 676419104, 685888068, 1.4785e+08, 5.89554e+07, 1.06313e+08, 1.89387e+08, 38387868, 80429703, 179753779, 205527766, 205998659, 5.17635e+10, 2.80422e+09, 4.97878e+10, 5.37392e+10, 45824943122, 51018904302, 53195450778, 54527093580, 54743825127, 4.14094e+10, 3.39491e+07, 4.13855e+10, 4.14333e+10, 41309230092, 41416668476, 41421958554, 41427697216, 41427792669, 7.13915e+09, 5.98461e+06, 7.13493e+09, 7.14337e+09, 7122779317, 7139130462, 7140562657, 7141772473, 7147790699, 1.51857e+08, 1.34533e+07, 1.42378e+08, 1.61336e+08, 142917690, 143703838, 1.48892e+08, 161459333, 188915076, 7.13915e+09, 5.98461e+06, 7.13493e+09, 7.14337e+09, 7122779317, 7139130462, 7140562657, 7141772473, 7147790699, 1.51857e+08, 1.34533e+07, 1.42378e+08, 1.61336e+08, 142917690, 143703838, 1.48892e+08, 161459333, 188915076
Wed May 17 22:14:47 EDT 2017, 1, 10, 0.250, 15, 79.501, 35.7987, 54.2788, 104.723, 32.52, 33.38, 96.37, 119.45, 120.8, 3.94592e+06, 642167, 3.49348e+06, 4.39836e+06, 3085308, 3278480, 4240016, 4667964, 4667968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 74478692, 0, 74478692, 74478692, 74478692, 74478692, 74478692, 74478692, 74478692, 7.06288e+08, 1.70632e+07, 6.94266e+08, 7.1831e+08, 671508500, 693907383, 7.12362e+08, 727464763, 729646487, 167739359, 4.8806e+07, 1.33353e+08, 2.02126e+08, 80661605, 109560189, 193616336, 217634090, 218157135, 7.06288e+08, 1.70632e+07, 6.94266e+08, 7.1831e+08, 671508500, 693907383, 7.12362e+08, 727464763, 729646487, 167739359, 4.8806e+07, 1.33353e+08, 2.02126e+08, 80661605, 109560189, 193616336, 217634090, 218157135, 8.66918e+10, 5.41052e+09, 8.28798e+10, 9.05038e+10, 79829527577, 81983459895, 87995164481, 91006073185, 98169592860, 9.04431e+10, 2.50003e+09, 8.86817e+10, 9.22045e+10, 87812809653, 87820953828, 9.1229e+10, 93472187286, 94548609957, 1.60572e+10, 7.86895e+08, 1.55028e+10, 1.66116e+10, 15265882876, 15278546622, 16258594044, 17078930148, 17259823360, 2.27307e+08, 3.20681e+07, 2.04713e+08, 2.49901e+08, 205326535, 211130582, 220897311, 229541018, 321101398, 1.60572e+10, 7.86895e+08, 1.55028e+10, 1.66116e+10, 15265882876, 15278546622, 16258594044, 17078930148, 17259823360, 2.27307e+08, 3.20681e+07, 2.04713e+08, 2.49901e+08, 205326535, 211130582, 220897311, 229541018, 321101398
Wed May 17 22:16:20 EDT 2017, 1, 1, 0.250, 20, 26.393, 2.04221, 24.9541, 27.8319, 24.38, 24.52, 26.89, 29, 29.19, 2.4725e+06, 2.99316, 2.4725e+06, 2.4725e+06, 2472496, 2472496, 2472500, 2472504, 2472504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998302, 0, 4998302, 4998302, 4998302, 4998302, 4998302, 4998302, 4998302, 39338650, 0, 39338650, 39338650, 39338650, 39338650, 39338650, 39338650, 39338650, 7.59401e+08, 4.31523e+06, 7.56361e+08, 7.62441e+08, 754813788, 755448216, 7.58872e+08, 764571545, 769134854, 1.65377e+08, 6.94557e+07, 1.16442e+08, 2.14312e+08, 107307747, 108763120, 178688748, 251492341, 251705506, 7.59401e+08, 4.31523e+06, 7.56361e+08, 7.62441e+08, 754813788, 755448216, 7.58872e+08, 764571545, 769134854, 1.65377e+08, 6.94557e+07, 1.16442e+08, 2.14312e+08, 107307747, 108763120, 178688748, 251492341, 251705506, 62246418907, 3.52114e+09, 5.97656e+10, 6.47273e+10, 58235180767, 59112892065, 6.31625e+10, 66730920364, 67102113310, 52575183107, 3.87035e+07, 5.25479e+10, 5.26025e+10, 52495297355, 52555348486, 5.25896e+10, 52608928271, 52634641388, 9082956665, 8.10807e+06, 9.07724e+09, 9.08867e+09, 9062755968, 9079545027, 9085249437, 9089912204, 9093521051, 1.8056e+08, 4.6873e+06, 1.77258e+08, 1.83862e+08, 176330573, 177955135, 179590815, 183471882, 193317147, 9082956665, 8.10807e+06, 9.07724e+09, 9.08867e+09, 9062755968, 9079545027, 9085249437, 9089912204, 9093521051, 1.8056e+08, 4.6873e+06, 1.77258e+08, 1.83862e+08, 176330573, 177955135, 179590815, 183471882, 193317147
Wed May 17 22:20:28 EDT 2017, 1, 10, 0.250, 20, 163.609, 74.152, 111.365, 215.853, 49.31, 51.6, 211.525, 213.38, 214.77, 4.27497e+06, 1.17715e+06, 3.4456e+06, 5.10434e+06, 3089320, 3116596, 4131362, 5930896, 6068496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 99305038, 1.41421, 9.9305e+07, 9.9305e+07, 99305038, 99305038, 99305038, 99305038, 99305038, 7.67649e+08, 1.64804e+07, 7.56038e+08, 7.7926e+08, 745931879, 747019350, 778018691, 788234866, 789754241, 218406541, 5.74973e+07, 1.77897e+08, 2.58917e+08, 108745789, 152889045, 250298290, 273855020, 275081037, 7.67649e+08, 1.64804e+07, 7.56038e+08, 7.7926e+08, 745931879, 747019350, 778018691, 788234866, 789754241, 218406541, 5.74973e+07, 1.77897e+08, 2.58917e+08, 108745789, 152889045, 250298290, 273855020, 275081037, 1.10583e+11, 6.24745e+09, 1.06181e+11, 1.14985e+11, 100844382813, 103626011505, 113329129068, 117692167264, 117979429181, 1.23508e+11, 6.19415e+09, 1.19144e+11, 1.27872e+11, 115284274682, 116121082589, 1.27106e+11, 130303464471, 131181573560, 2.28054e+10, 2.12734e+09, 2.13066e+10, 2.43042e+10, 20116413938, 20257004921, 2.3816e+10, 25214469944, 25598909177, 2.81252e+08, 8.95537e+06, 2.74942e+08, 2.87562e+08, 271245412, 272510411, 2.82168e+08, 294199703, 297121657, 2.28054e+10, 2.12734e+09, 2.13066e+10, 2.43042e+10, 20116413938, 20257004921, 2.3816e+10, 25214469944, 25598909177, 2.81252e+08, 8.95537e+06, 2.74942e+08, 2.87562e+08, 271245412, 272510411, 2.82168e+08, 294199703, 297121657
