# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 21:55:30 EDT 2017, 0.430, 122, 29, 7, 19, 394, 1, 20, 15, 25, 0.340, 0.420
Sun Jul  2 21:57:41 EDT 2017, 0.930, 142, 24, 3, 8, 544, 11, 40, 0, 45, 130.120, 7.793
Sun Jul  2 21:57:46 EDT 2017, 0.680, 132, 22, 9, 14, 319, 16, 10, 23, 35, 5.643, 1.280
Sun Jul  2 21:57:48 EDT 2017, 0.180, 152, 27, 5, 25, 469, 6, 30, 8, 15, 1.943, 1.140
Sun Jul  2 21:57:50 EDT 2017, 0.120, 125, 20, 3, 29, 450, 5, 12, 17, 33, 1.743, 1.033
Sun Jul  2 21:57:56 EDT 2017, 0.620, 145, 25, 7, 18, 300, 14, 32, 2, 13, 5.070, 1.190
Sun Jul  2 21:58:21 EDT 2017, 0.870, 135, 27, 5, 12, 525, 19, 22, 25, 23, 25.130, 2.830
Sun Jul  2 21:59:20 EDT 2017, 0.370, 155, 22, 9, 23, 375, 10, 42, 10, 43, 59.033, 4.730
Sun Jul  2 21:59:22 EDT 2017, 0.250, 130, 26, 2, 10, 413, 2, 37, 21, 28, 1.663, 1.523
Sun Jul  2 21:59:52 EDT 2017, 0.750, 150, 21, 6, 21, 563, 12, 17, 6, 48, 29.967, 3.847
Sun Jul  2 22:03:40 EDT 2017, 0.500, 120, 24, 4, 26, 338, 17, 47, 28, 38, 226.690, 6.710
Sun Jul  2 22:03:43 EDT 2017, 0.000, 140, 29, 8, 15, 488, 7, 27, 13, 18, 2.870, 1.357
Sun Jul  2 22:04:33 EDT 2017, 0.000, 130, 23, 3, 27, 431, 14, 26, 18, 36, 49.403, 3.853
Sun Jul  2 22:04:37 EDT 2017, 0.500, 150, 28, 7, 16, 581, 5, 46, 3, 16, 3.837, 1.723
Sun Jul  2 22:04:40 EDT 2017, 0.750, 120, 26, 5, 11, 356, 9, 16, 25, 26, 3.193, 1.030
Sun Jul  2 22:09:28 EDT 2017, 0.250, 140, 21, 9, 22, 506, 19, 36, 10, 46, 287.360, 9.587
Sun Jul  2 22:09:58 EDT 2017, 0.370, 125, 29, 2, 8, 469, 12, 41, 22, 21, 29.783, 3.247
Sun Jul  2 22:09:59 EDT 2017, 0.870, 145, 24, 6, 19, 319, 2, 21, 7, 41, 0.833, 0.697
Sun Jul  2 22:10:15 EDT 2017, 0.620, 135, 22, 4, 24, 544, 7, 31, 29, 31, 15.953, 2.913
Sun Jul  2 22:10:16 EDT 2017, 0.120, 155, 27, 8, 13, 394, 17, 11, 14, 11, 0.850, 0.510
Sun Jul  2 22:11:37 EDT 2017, 0.190, 122, 20, 6, 18, 375, 13, 34, 20, 39, 80.943, 4.613
Sun Jul  2 22:11:38 EDT 2017, 0.690, 142, 25, 2, 29, 525, 3, 14, 5, 19, 0.593, 0.840
Sun Jul  2 22:11:55 EDT 2017, 0.940, 132, 27, 8, 23, 300, 8, 44, 27, 29, 16.183, 2.363
Sun Jul  2 22:13:47 EDT 2017, 0.440, 152, 22, 4, 12, 450, 18, 24, 12, 49, 112.417, 5.853
Sun Jul  2 22:13:54 EDT 2017, 0.310, 137, 26, 7, 20, 487, 11, 19, 16, 24, 6.330, 1.860
Sun Jul  2 22:13:55 EDT 2017, 0.810, 157, 21, 3, 9, 337, 1, 39, 1, 44, 1.263, 1.167
Sun Jul  2 22:14:07 EDT 2017, 0.560, 127, 24, 9, 15, 562, 6, 29, 24, 34, 11.400, 2.557
Sun Jul  2 22:14:27 EDT 2017, 0.060, 147, 29, 5, 26, 412, 15, 49, 9, 14, 20.007, 2.600
Sun Jul  2 22:14:39 EDT 2017, 0.090, 128, 25, 4, 22, 347, 5, 38, 10, 40, 12.523, 2.373
Sun Jul  2 22:14:47 EDT 2017, 0.590, 148, 20, 8, 11, 497, 15, 18, 25, 20, 7.730, 1.760
Sun Jul  2 22:15:10 EDT 2017, 0.840, 138, 22, 2, 17, 422, 19, 48, 2, 10, 22.553, 2.553
Sun Jul  2 22:15:28 EDT 2017, 0.340, 158, 27, 6, 28, 572, 10, 28, 17, 30, 17.547, 3.150
Sun Jul  2 22:15:28 EDT 2017, 0.470, 133, 21, 5, 14, 534, 3, 13, 13, 15, 0.333, 0.427
Sun Jul  2 22:16:01 EDT 2017, 0.970, 153, 26, 9, 25, 384, 12, 33, 28, 35, 32.293, 3.433
Sun Jul  2 22:17:28 EDT 2017, 0.720, 123, 28, 3, 20, 459, 17, 23, 6, 45, 86.740, 4.797
Sun Jul  2 22:17:41 EDT 2017, 0.220, 143, 23, 7, 9, 309, 8, 43, 21, 25, 12.870, 2.760
Sun Jul  2 22:17:44 EDT 2017, 0.150, 136, 28, 9, 13, 328, 4, 20, 11, 42, 2.360, 1.190
Sun Jul  2 22:18:21 EDT 2017, 0.650, 156, 23, 5, 24, 478, 14, 40, 26, 22, 36.963, 3.930
Sun Jul  2 22:18:23 EDT 2017, 0.900, 126, 20, 7, 29, 403, 18, 10, 4, 12, 1.457, 0.797
Sun Jul  2 22:18:45 EDT 2017, 0.400, 146, 25, 3, 18, 553, 9, 30, 19, 32, 22.833, 3.470
Sun Jul  2 22:18:47 EDT 2017, 0.280, 121, 24, 8, 27, 590, 2, 45, 8, 17, 1.520, 1.507
Sun Jul  2 22:19:10 EDT 2017, 0.780, 141, 29, 4, 16, 440, 11, 25, 23, 37, 22.650, 3.057
Sun Jul  2 22:22:32 EDT 2017, 0.530, 131, 27, 6, 10, 515, 16, 35, 0, 47, 201.977, 7.930
Sun Jul  2 22:22:34 EDT 2017, 0.030, 151, 22, 2, 21, 365, 6, 15, 15, 27, 1.710, 0.990
Sun Jul  2 22:26:32 EDT 2017, 0.040, 120, 27, 7, 14, 548, 19, 40, 1, 35, 237.233, 8.290
Sun Jul  2 22:26:34 EDT 2017, 0.540, 140, 22, 3, 25, 398, 9, 20, 16, 15, 2.173, 1.067
Sun Jul  2 22:26:38 EDT 2017, 0.790, 130, 20, 9, 20, 473, 4, 30, 8, 25, 3.110, 1.593
Sun Jul  2 22:26:44 EDT 2017, 0.290, 150, 25, 5, 9, 323, 14, 10, 23, 45, 6.497, 1.403
Sun Jul  2 22:26:58 EDT 2017, 0.420, 135, 23, 6, 23, 361, 16, 25, 4, 20, 13.173, 1.883
Sun Jul  2 22:27:38 EDT 2017, 0.920, 155, 28, 2, 12, 511, 7, 45, 19, 40, 39.897, 4.860
Sun Jul  2 22:27:39 EDT 2017, 0.670, 125, 26, 8, 17, 436, 2, 15, 12, 30, 0.447, 0.567
Sun Jul  2 22:27:44 EDT 2017, 0.170, 145, 21, 4, 28, 586, 11, 35, 27, 10, 5.457, 1.850
Sun Jul  2 22:28:26 EDT 2017, 0.230, 133, 25, 2, 24, 567, 17, 17, 6, 38, 41.583, 3.967
Sun Jul  2 22:28:33 EDT 2017, 0.730, 153, 20, 6, 13, 417, 8, 37, 21, 18, 6.820, 1.770
Sun Jul  2 22:28:35 EDT 2017, 0.980, 123, 23, 4, 8, 492, 3, 27, 14, 28, 2.123, 1.327
Sun Jul  2 22:30:57 EDT 2017, 0.480, 143, 28, 8, 19, 342, 13, 47, 29, 48, 140.860, 6.003
Sun Jul  2 22:31:23 EDT 2017, 0.360, 128, 21, 3, 10, 304, 15, 32, 3, 23, 26.077, 2.623
Sun Jul  2 22:31:25 EDT 2017, 0.860, 148, 26, 7, 21, 454, 6, 12, 18, 43, 2.307, 1.133
Sun Jul  2 22:31:27 EDT 2017, 0.610, 138, 29, 5, 27, 379, 1, 42, 10, 33, 1.250, 1.280
Sun Jul  2 22:31:29 EDT 2017, 0.110, 158, 24, 9, 16, 529, 10, 22, 25, 13, 2.113, 1.090
Sun Jul  2 22:31:37 EDT 2017, 0.080, 139, 20, 8, 10, 464, 10, 13, 22, 42, 8.137, 2.010
Sun Jul  2 22:32:07 EDT 2017, 0.580, 159, 25, 4, 21, 314, 19, 33, 7, 22, 28.853, 2.590
Sun Jul  2 22:32:11 EDT 2017, 0.830, 129, 28, 6, 26, 539, 14, 23, 15, 12, 4.263, 1.377
Sun Jul  2 22:32:22 EDT 2017, 0.330, 149, 23, 2, 15, 389, 5, 43, 0, 32, 11.327, 2.417
Sun Jul  2 22:32:27 EDT 2017, 0.450, 124, 27, 9, 29, 426, 7, 38, 26, 17, 4.880, 1.443
Sun Jul  2 22:33:10 EDT 2017, 0.950, 144, 22, 5, 18, 576, 17, 18, 11, 37, 42.613, 4.030
Sun Jul  2 22:35:40 EDT 2017, 0.700, 134, 24, 7, 12, 351, 12, 48, 18, 47, 149.540, 6.447
Sun Jul  2 22:35:42 EDT 2017, 0.200, 154, 29, 3, 23, 501, 3, 28, 3, 27, 1.733, 1.277
Sun Jul  2 22:37:18 EDT 2017, 0.140, 126, 22, 5, 19, 520, 8, 46, 28, 44, 95.387, 6.933
Sun Jul  2 22:37:38 EDT 2017, 0.640, 146, 27, 9, 8, 370, 18, 26, 13, 24, 19.933, 2.407
Sun Jul  2 22:37:53 EDT 2017, 0.890, 136, 25, 3, 14, 595, 13, 36, 20, 14, 15.140, 2.690
Sun Jul  2 22:37:55 EDT 2017, 0.390, 156, 20, 7, 25, 445, 4, 16, 5, 34, 1.507, 0.943
Sun Jul  2 22:37:57 EDT 2017, 0.260, 131, 29, 4, 17, 408, 6, 21, 24, 19, 1.573, 0.943
Sun Jul  2 22:40:57 EDT 2017, 0.760, 151, 24, 8, 28, 558, 16, 41, 9, 39, 180.563, 8.327
Sun Jul  2 22:41:07 EDT 2017, 0.510, 121, 21, 2, 22, 333, 11, 11, 17, 49, 9.260, 1.703
Sun Jul  2 22:41:08 EDT 2017, 0.010, 141, 26, 6, 11, 483, 1, 31, 2, 29, 0.497, 0.703
Sun Jul  2 22:47:27 EDT 2017, 0.020, 125, 21, 9, 26, 504, 16, 44, 19, 48, 378.273, 11.047
Sun Jul  2 22:47:31 EDT 2017, 0.520, 145, 26, 5, 15, 354, 7, 24, 4, 28, 4.327, 1.513
Sun Jul  2 22:47:32 EDT 2017, 0.770, 135, 29, 7, 9, 579, 2, 34, 26, 18, 0.833, 0.650
Sun Jul  2 22:47:40 EDT 2017, 0.270, 155, 24, 3, 20, 429, 11, 14, 11, 38, 8.107, 1.850
Sun Jul  2 22:47:50 EDT 2017, 0.400, 130, 25, 8, 12, 391, 18, 29, 15, 13, 9.380, 1.703
Sun Jul  2 22:49:04 EDT 2017, 0.900, 150, 20, 4, 23, 541, 9, 49, 0, 33, 73.440, 6.177
Sun Jul  2 22:49:07 EDT 2017, 0.650, 120, 23, 6, 28, 316, 4, 19, 22, 43, 2.690, 1.263
Sun Jul  2 22:49:48 EDT 2017, 0.150, 140, 28, 2, 17, 466, 14, 39, 7, 23, 40.797, 3.740
Sun Jul  2 22:50:25 EDT 2017, 0.210, 138, 24, 4, 13, 485, 15, 17, 17, 45, 36.787, 3.670
Sun Jul  2 22:50:28 EDT 2017, 0.710, 158, 29, 8, 24, 335, 5, 37, 2, 25, 3.313, 1.443
Sun Jul  2 22:50:29 EDT 2017, 0.960, 128, 27, 2, 19, 560, 1, 27, 24, 15, 0.283, 0.347
Sun Jul  2 22:51:31 EDT 2017, 0.460, 148, 22, 6, 8, 410, 10, 47, 9, 35, 61.970, 4.903
Sun Jul  2 22:51:38 EDT 2017, 0.330, 123, 28, 5, 22, 447, 17, 32, 21, 10, 7.390, 1.723
Sun Jul  2 22:51:41 EDT 2017, 0.830, 143, 23, 9, 11, 597, 8, 12, 6, 30, 2.757, 1.253
Sun Jul  2 22:51:49 EDT 2017, 0.580, 133, 21, 3, 16, 372, 3, 42, 28, 40, 7.253, 2.143
Sun Jul  2 22:51:56 EDT 2017, 0.080, 153, 26, 7, 27, 522, 13, 22, 13, 20, 7.683, 1.853
Sun Jul  2 22:51:59 EDT 2017, 0.120, 134, 29, 6, 21, 588, 7, 11, 12, 34, 2.167, 1.143
Sun Jul  2 22:52:12 EDT 2017, 0.620, 154, 24, 2, 10, 438, 17, 31, 27, 14, 13.040, 2.243
Sun Jul  2 22:52:23 EDT 2017, 0.870, 124, 22, 8, 15, 513, 12, 21, 5, 24, 11.493, 2.150
Sun Jul  2 22:52:27 EDT 2017, 0.370, 144, 27, 4, 26, 363, 2, 41, 20, 44, 3.243, 1.740
Sun Jul  2 22:52:48 EDT 2017, 0.490, 129, 23, 7, 18, 326, 10, 36, 8, 29, 21.193, 2.363
Sun Jul  2 22:53:40 EDT 2017, 0.990, 149, 28, 3, 29, 476, 19, 16, 23, 49, 51.733, 4.167
Sun Jul  2 22:55:54 EDT 2017, 0.740, 139, 25, 9, 24, 401, 14, 46, 1, 39, 132.983, 6.260
Sun Jul  2 22:55:56 EDT 2017, 0.240, 159, 20, 5, 13, 551, 5, 26, 16, 19, 2.280, 1.390
Sun Jul  2 22:56:24 EDT 2017, 0.180, 122, 26, 3, 8, 532, 6, 48, 10, 31, 28.013, 3.913
Sun Jul  2 22:56:29 EDT 2017, 0.680, 142, 21, 7, 19, 382, 15, 28, 25, 11, 4.793, 1.297
Sun Jul  2 22:56:51 EDT 2017, 0.930, 132, 24, 5, 25, 457, 11, 38, 3, 21, 20.990, 2.693
Sun Jul  2 22:56:51 EDT 2017, 0.430, 152, 29, 9, 14, 307, 1, 18, 18, 41, 0.283, 0.410
Sun Jul  2 22:56:57 EDT 2017, 0.300, 137, 20, 2, 28, 344, 8, 23, 14, 26, 6.037, 1.713
Sun Jul  2 23:02:09 EDT 2017, 0.800, 157, 25, 6, 17, 494, 18, 43, 29, 46, 311.137, 10.607
Sun Jul  2 23:02:18 EDT 2017, 0.550, 127, 27, 4, 11, 419, 13, 13, 7, 36, 9.157, 1.897
Sun Jul  2 23:02:20 EDT 2017, 0.050, 147, 22, 8, 22, 569, 4, 33, 22, 16, 1.663, 1.137
Sun Jul  2 23:03:02 EDT 2017, 0.040, 135, 26, 5, 16, 312, 12, 27, 6, 48, 41.773, 3.190
Sun Jul  2 23:03:04 EDT 2017, 0.540, 155, 21, 9, 27, 462, 2, 47, 21, 28, 2.273, 1.553
Sun Jul  2 23:03:06 EDT 2017, 0.790, 125, 24, 3, 22, 387, 7, 17, 14, 18, 1.430, 0.830
Sun Jul  2 23:05:09 EDT 2017, 0.290, 145, 29, 7, 11, 537, 16, 37, 29, 38, 123.493, 6.697
Sun Jul  2 23:05:35 EDT 2017, 0.410, 120, 20, 4, 19, 574, 14, 42, 2, 13, 25.390, 3.130
Sun Jul  2 23:05:37 EDT 2017, 0.910, 140, 25, 8, 8, 424, 4, 22, 17, 33, 2.200, 1.190
Sun Jul  2 23:06:23 EDT 2017, 0.660, 130, 28, 2, 14, 499, 9, 32, 10, 43, 45.740, 4.600
Sun Jul  2 23:06:28 EDT 2017, 0.160, 150, 23, 6, 25, 349, 19, 12, 25, 23, 5.047, 1.450
Sun Jul  2 23:07:06 EDT 2017, 0.220, 127, 28, 8, 29, 368, 10, 30, 0, 46, 37.327, 3.410
Sun Jul  2 23:07:06 EDT 2017, 0.720, 147, 23, 4, 18, 518, 1, 10, 15, 26, 0.227, 0.240
Sun Jul  2 23:07:11 EDT 2017, 0.970, 137, 21, 6, 12, 443, 6, 40, 8, 16, 4.600, 1.740
Sun Jul  2 23:07:46 EDT 2017, 0.470, 157, 26, 2, 23, 593, 15, 20, 23, 36, 34.933, 4.100
Sun Jul  2 23:07:48 EDT 2017, 0.350, 132, 22, 9, 9, 555, 13, 15, 4, 11, 2.100, 1.343
Sun Jul  2 23:07:51 EDT 2017, 0.850, 152, 27, 5, 20, 405, 3, 35, 19, 31, 2.517, 1.367
Sun Jul  2 23:08:11 EDT 2017, 0.600, 122, 25, 7, 26, 480, 8, 25, 12, 41, 19.417, 2.827
Sun Jul  2 23:09:15 EDT 2017, 0.100, 142, 20, 3, 15, 330, 18, 45, 27, 21, 64.010, 3.813
Sun Jul  2 23:09:19 EDT 2017, 0.070, 124, 24, 2, 12, 396, 3, 36, 29, 32, 3.780, 1.593
Sun Jul  2 23:09:21 EDT 2017, 0.570, 144, 29, 6, 23, 546, 12, 16, 14, 12, 1.627, 1.050
Sun Jul  2 23:10:16 EDT 2017, 0.820, 134, 26, 4, 28, 321, 17, 46, 22, 22, 55.023, 3.483
Sun Jul  2 23:10:30 EDT 2017, 0.320, 154, 21, 8, 17, 471, 7, 26, 7, 42, 14.153, 2.940
Sun Jul  2 23:10:31 EDT 2017, 0.440, 139, 27, 3, 25, 508, 5, 11, 26, 27, 0.960, 0.830
Sun Jul  2 23:11:59 EDT 2017, 0.940, 159, 22, 7, 14, 358, 15, 31, 11, 47, 87.187, 5.150
Sun Jul  2 23:13:27 EDT 2017, 0.690, 129, 20, 5, 9, 583, 19, 21, 18, 37, 88.093, 5.543
Sun Jul  2 23:13:37 EDT 2017, 0.190, 149, 25, 9, 20, 433, 10, 41, 3, 17, 9.733, 2.037
Sun Jul  2 23:13:38 EDT 2017, 0.130, 131, 22, 7, 24, 415, 2, 24, 24, 30, 0.983, 0.910
Sun Jul  2 23:13:45 EDT 2017, 0.630, 151, 27, 3, 13, 565, 11, 44, 9, 10, 6.503, 1.840
Sun Jul  2 23:13:48 EDT 2017, 0.880, 121, 29, 9, 18, 340, 16, 14, 16, 20, 3.580, 1.000
Sun Jul  2 23:14:07 EDT 2017, 0.380, 141, 24, 5, 29, 490, 6, 34, 1, 40, 18.977, 3.350
Sun Jul  2 23:14:14 EDT 2017, 0.260, 126, 26, 6, 16, 452, 4, 49, 28, 25, 6.597, 1.967
Sun Jul  2 23:15:13 EDT 2017, 0.760, 146, 21, 2, 27, 302, 13, 29, 13, 45, 58.800, 3.813
Sun Jul  2 23:18:12 EDT 2017, 0.510, 136, 23, 8, 21, 527, 18, 39, 20, 35, 178.660, 7.803
Sun Jul  2 23:18:14 EDT 2017, 0.010, 156, 28, 4, 10, 377, 9, 19, 5, 15, 1.477, 0.903
Sun Jul  2 23:18:17 EDT 2017, 0.010, 123, 25, 8, 20, 331, 15, 12, 4, 18, 2.583, 0.980
Sun Jul  2 23:18:29 EDT 2017, 0.510, 143, 20, 4, 9, 481, 5, 32, 19, 38, 12.310, 2.833
Sun Jul  2 23:18:30 EDT 2017, 0.760, 133, 23, 6, 15, 406, 1, 22, 12, 48, 0.537, 0.750
Sun Jul  2 23:19:09 EDT 2017, 0.260, 153, 28, 2, 26, 556, 10, 42, 27, 28, 38.070, 4.510
Sun Jul  2 23:23:17 EDT 2017, 0.380, 138, 22, 9, 17, 594, 17, 37, 0, 43, 248.177, 9.530
Sun Jul  2 23:23:19 EDT 2017, 0.880, 158, 27, 5, 28, 444, 8, 17, 15, 23, 2.283, 1.163
Sun Jul  2 23:23:21 EDT 2017, 0.630, 128, 29, 7, 23, 519, 3, 47, 8, 13, 1.190, 0.830
Sun Jul  2 23:23:45 EDT 2017, 0.130, 148, 24, 3, 12, 369, 12, 27, 23, 33, 24.003, 2.937
Sun Jul  2 23:24:10 EDT 2017, 0.200, 130, 27, 5, 8, 350, 16, 45, 2, 16, 25.353, 2.593
Sun Jul  2 23:24:18 EDT 2017, 0.700, 150, 22, 9, 19, 500, 6, 25, 17, 36, 7.843, 2.353
Sun Jul  2 23:24:23 EDT 2017, 0.950, 120, 20, 3, 24, 425, 2, 35, 10, 46, 4.180, 1.877
Sun Jul  2 23:24:28 EDT 2017, 0.450, 140, 25, 7, 13, 575, 11, 15, 25, 26, 5.443, 1.767
Sun Jul  2 23:25:47 EDT 2017, 0.320, 125, 23, 4, 27, 538, 18, 20, 6, 41, 78.243, 4.843
Sun Jul  2 23:25:57 EDT 2017, 0.820, 145, 28, 8, 16, 388, 9, 40, 21, 21, 10.187, 2.120
Sun Jul  2 23:25:58 EDT 2017, 0.570, 135, 26, 2, 10, 463, 4, 10, 13, 11, 0.230, 0.317
Sun Jul  2 23:26:27 EDT 2017, 0.070, 155, 21, 6, 21, 313, 14, 30, 28, 31, 29.000, 2.817
Sun Jul  2 23:26:33 EDT 2017, 0.100, 137, 23, 7, 26, 378, 6, 41, 27, 22, 6.350, 1.617
Sun Jul  2 23:27:17 EDT 2017, 0.600, 157, 28, 3, 15, 528, 15, 21, 12, 42, 43.453, 4.200
Sun Jul  2 23:27:37 EDT 2017, 0.850, 127, 25, 9, 10, 303, 11, 31, 20, 32, 19.680, 2.297
Sun Jul  2 23:27:37 EDT 2017, 0.350, 147, 20, 5, 21, 453, 1, 11, 5, 12, 0.180, 0.217
Sun Jul  2 23:27:54 EDT 2017, 0.480, 122, 29, 6, 13, 491, 8, 26, 24, 37, 16.367, 2.737
Sun Jul  2 23:28:34 EDT 2017, 0.980, 142, 24, 2, 24, 341, 18, 46, 9, 17, 40.110, 2.927
Sun Jul  2 23:28:45 EDT 2017, 0.730, 132, 21, 8, 29, 566, 13, 16, 16, 27, 10.463, 2.170
Sun Jul  2 23:28:55 EDT 2017, 0.230, 152, 26, 4, 18, 416, 4, 36, 1, 47, 9.930, 2.480
