# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, topCancl_mean, topCancl_sd, topCancl_ci, topCancl_ci, topCancl_min, topCancl_box_q1, topCancl_median, topCancl_box_q2, topCancl_max, ladCancl_mean, ladCancl_sd, ladCancl_ci, ladCancl_ci, ladCancl_min, ladCancl_box_q1, ladCancl_median, ladCancl_box_q2, ladCancl_max, botCancl_mean, botCancl_sd, botCancl_ci, botCancl_ci, botCancl_min, botCancl_box_q1, botCancl_median, botCancl_box_q2, botCancl_max, topScan_mean, topScan_sd, topScan_ci, topScan_ci, topScan_min, topScan_box_q1, topScan_median, topScan_box_q2, topScan_max, ladScan_mean, ladScan_sd, ladScan_ci, ladScan_ci, ladScan_min, ladScan_box_q1, ladScan_median, ladScan_box_q2, ladScan_max, botScan_mean, botScan_sd, botScan_ci, botScan_ci, botScan_min, botScan_box_q1, botScan_median, botScan_box_q2, botScan_max, NuBotScan_mean, NuBotScan_sd, NuBotScan_ci, NuBotScan_ci, NuBotScan_min, NuBotScan_box_q1, NuBotScan_median, NuBotScan_box_q2, NuBotScan_max, NoCBotSc_mean, NoCBotSc_sd, NoCBotSc_ci, NoCBotSc_ci, NoCBotSc_min, NoCBotSc_box_q1, NoCBotSc_median, NoCBotSc_box_q2, NoCBotSc_max, NuNoCBotSc_mean, NuNoCBotSc_sd, NuNoCBotSc_ci, NuNoCBotSc_ci, NuNoCBotSc_min, NuNoCBotSc_box_q1, NuNoCBotSc_median, NuNoCBotSc_box_q2, NuNoCBotSc_max, topIns_mean, topIns_sd, topIns_ci, topIns_ci, topIns_min, topIns_box_q1, topIns_median, topIns_box_q2, topIns_max, ladIns_mean, ladIns_sd, ladIns_ci, ladIns_ci, ladIns_min, ladIns_box_q1, ladIns_median, ladIns_box_q2, ladIns_max, botIns_mean, botIns_sd, botIns_ci, botIns_ci, botIns_min, botIns_box_q1, botIns_median, botIns_box_q2, botIns_max, rungs_mean, rungs_sd, rungs_ci, rungs_ci, rungs_min, rungs_box_q1, rungs_median, rungs_box_q2, rungs_max, bktRung_mean, bktRung_sd, bktRung_ci, bktRung_ci, bktRung_min, bktRung_box_q1, bktRung_median, bktRung_box_q2, bktRung_max, botSize_mean, botSize_sd, botSize_ci, botSize_ci, botSize_min, botSize_box_q1, botSize_median, botSize_box_q2, botSize_max, bktSize_mean, bktSize_sd, bktSize_ci, bktSize_ci, bktSize_min, bktSize_box_q1, bktSize_median, bktSize_box_q2, bktSize_max
Sat Jan 14 09:06:25 EST 2017, 1, 1, 0.000, 1, 5.026, 0.0537029, 4.98816, 5.06384, 4.93, 5, 5.055, 5.08, 5.08, 49698.8, 3.1241, 49696.6, 49701, 49696, 49696, 49700, 49704, 49704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259984, 0, 259984, 259984, 259984, 259984, 259984, 259984, 259984, 1704388, 0, 1704388, 1704388, 1704388, 1704388, 1704388, 1704388, 1704388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0222548, 4.65661e-10, 0.0222548, 0.0222548, 0.0222548, 0.0222548, 0.0222548, 0.0222548, 0.0222548, 3936.62, 0, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:12:39 EST 2017, 1, 2, 0.000, 1, 6.798, 0.15413, 6.68941, 6.90659, 6.56, 6.69, 6.905, 6.97, 7, 50991.6, 2.15407, 50990.1, 50993.1, 50988, 50992, 50992, 50992, 50996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499982, 0, 499982, 499982, 499982, 499982, 499982, 499982, 499982, 2655188, 0, 2655188, 2655188, 2655188, 2655188, 2655188, 2655188, 2655188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0125636, 2.32831e-10, 0.0125636, 0.0125636, 0.0125636, 0.0125636, 0.0125636, 0.0125636, 0.0125636, 6322.99, 8.63167e-05, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:18:48 EST 2017, 1, 5, 0.000, 1, 9.045, 0.138293, 8.94756, 9.14244, 8.81, 8.88, 9.1, 9.2, 9.23, 52854.4, 3.2, 52852.1, 52856.7, 52852, 52852, 52854, 52860, 52860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1149927, 0, 1149927, 1149927, 1149927, 1149927, 1149927, 1149927, 1149927, 3430217, 0, 3430217, 3430217, 3430217, 3430217, 3430217, 3430217, 3430217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00729695, 1.16415e-10, 0.00729695, 0.00729695, 0.00729695, 0.00729695, 0.00729695, 0.00729695, 0.00729695, 9178.65, 0.000172633, 9178.65, 9178.65, 9178.65, 9178.65, 9178.65, 9178.65, 9178.65, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:24:57 EST 2017, 1, 10, 0.000, 1, 9.759, 0.0697782, 9.70984, 9.80816, 9.63, 9.71, 9.79, 9.84, 9.86, 53555.6, 2.8, 53553.6, 53557.6, 53552, 53552, 53556, 53560, 53560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2099933, 0, 2099933, 2099933, 2099933, 2099933, 2099933, 2099933, 2099933, 2856147, 0, 2856147, 2856147, 2856147, 2856147, 2856147, 2856147, 2856147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0038382, 4.1159e-11, 0.0038382, 0.0038382, 0.0038382, 0.0038382, 0.0038382, 0.0038382, 0.0038382, 9932.02, 0.00012207, 9932.02, 9932.02, 9932.02, 9932.02, 9932.02, 9932.02, 9932.02, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:30:16 EST 2017, 1, 1, 0.250, 1, 4.927, 0.205526, 4.7822, 5.0718, 4.41, 4.86, 5, 5.06, 5.24, 45522.4, 2.6533, 45520.5, 45524.3, 45520, 45520, 45524, 45524, 45528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267719, 0, 267719, 267719, 267719, 267719, 267719, 267719, 267719, 1696966, 0, 1696966, 1696966, 1696966, 1696966, 1696966, 1696966, 1696966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0284291, 5.70316e-10, 0.0284291, 0.0284291, 0.0284291, 0.0284291, 0.0284291, 0.0284291, 0.0284291, 3937.24, 9.65051e-05, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:36:24 EST 2017, 1, 2, 0.250, 1, 6.954, 0.0390384, 6.9265, 6.9815, 6.88, 6.91, 6.98, 6.99, 6.99, 45960.4, 4.54313, 45957.2, 45963.6, 45956, 45956, 45960, 45964, 45972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 509952, 0, 509952, 509952, 509952, 509952, 509952, 509952, 509952, 2645181, 0, 2645181, 2645181, 2645181, 2645181, 2645181, 2645181, 2645181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00868263, 2.01637e-10, 0.00868263, 0.00868263, 0.00868263, 0.00868263, 0.00868263, 0.00868263, 0.00868263, 6322.91, 0.00012207, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:42:39 EST 2017, 1, 5, 0.250, 1, 8.714, 0.596795, 8.29352, 9.13448, 6.98, 8.64, 8.975, 9.03, 9.05, 46445.6, 1.95959, 46444.2, 46447, 46444, 46444, 46446, 46448, 46448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1139998, 0, 1139998, 1139998, 1139998, 1139998, 1139998, 1139998, 1139998, 3440300, 0, 3440300, 3440300, 3440300, 3440300, 3440300, 3440300, 3440300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00539511, 1.00819e-10, 0.00539511, 0.00539511, 0.00539511, 0.00539511, 0.00539511, 0.00539511, 0.00539511, 9178.95, 0.00012207, 9178.95, 9178.95, 9178.95, 9178.95, 9178.95, 9178.95, 9178.95, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:48:47 EST 2017, 1, 10, 0.250, 1, 9.193, 0.610411, 8.76293, 9.62307, 7.57, 9.42, 9.465, 9.54, 9.56, 46608, 2.52982, 46606.2, 46609.8, 46604, 46608, 46608, 46612, 46612, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2089953, 0, 2089953, 2089953, 2089953, 2089953, 2089953, 2089953, 2089953, 2866146, 0, 2866146, 2866146, 2866146, 2866146, 2866146, 2866146, 2866146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00384388, 4.1159e-11, 0.00384388, 0.00384388, 0.00384388, 0.00384388, 0.00384388, 0.00384388, 0.00384388, 9932.06, 0.00012207, 9932.06, 9932.06, 9932.06, 9932.06, 9932.06, 9932.06, 9932.06, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:54:57 EST 2017, 1, 1, 0.000, 2, 8.015, 0.122413, 7.92875, 8.10125, 7.83, 7.87, 8.115, 8.13, 8.14, 51379.6, 2.8, 51377.6, 51381.6, 51376, 51376, 51380, 51384, 51384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 497256, 0, 497256, 497256, 497256, 497256, 497256, 497256, 497256, 3429235, 0, 3429235, 3429235, 3429235, 3429235, 3429235, 3429235, 3429235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0222287, 3.29272e-10, 0.0222287, 0.0222287, 0.0222287, 0.0222287, 0.0222287, 0.0222287, 0.0222287, 7868.72, 0.000149505, 7868.72, 7868.72, 7868.72, 7868.72, 7868.72, 7868.72, 7868.72, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 10:00:20 EST 2017, 1, 2, 0.000, 2, 11.188, 0.343302, 10.9461, 11.4299, 10.19, 11.2, 11.31, 11.37, 11.49, 53595.2, 3.48712, 53592.7, 53597.7, 53592, 53592, 53596, 53600, 53600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 920000, 0, 920000, 920000, 920000, 920000, 920000, 920000, 920000, 5390497, 0, 5390497, 5390497, 5390497, 5390497, 5390497, 5390497, 5390497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0164803, 2.32831e-10, 0.0164803, 0.0164803, 0.0164803, 0.0164803, 0.0164803, 0.0164803, 0.0164803, 12646.3, 0.000172633, 12646.3, 12646.3, 12646.3, 12646.3, 12646.3, 12646.3, 12646.3, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 10:04:29 EST 2017, 1, 5, 0.000, 2, 14.331, 0.357112, 14.0794, 14.5826, 13.89, 13.93, 14.445, 14.47, 15.15, 56284, 3.57771, 56281.5, 56286.5, 56280, 56280, 56286, 56288, 56288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2178378, 0, 2178378, 2178378, 2178378, 2178378, 2178378, 2178378, 2178378, 6983143, 0, 6983143, 6983143, 6983143, 6983143, 6983143, 6983143, 6983143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00518609, 8.23181e-11, 0.00518609, 0.00518609, 0.00518609, 0.00518609, 0.00518609, 0.00518609, 0.00518609, 18359.8, 0.000345267, 18359.8, 18359.8, 18359.8, 18359.8, 18359.8, 18359.8, 18359.8, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 10:08:38 EST 2017, 1, 10, 0.000, 2, 14.794, 0.26609, 14.6065, 14.9815, 14.39, 14.39, 14.95, 15, 15.02, 56674.8, 3.1241, 56672.6, 56677, 56672, 56672, 56676, 56680, 56680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3960000, 0, 3960000, 3960000, 3960000, 3960000, 3960000, 3960000, 3960000, 5952766, 0, 5952766, 5952766, 5952766, 5952766, 5952766, 5952766, 5952766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00383368, 4.1159e-11, 0.00383368, 0.00383368, 0.00383368, 0.00383368, 0.00383368, 0.00383368, 0.00383368, 19865.3, 0.000422864, 19865.3, 19865.3, 19865.3, 19865.3, 19865.3, 19865.3, 19865.3, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 10:12:36 EST 2017, 1, 1, 0.250, 2, 8.115, 0.13132, 8.02248, 8.20752, 7.85, 8.15, 8.175, 8.21, 8.21, 48206.4, 2.6533, 48204.5, 48208.3, 48204, 48204, 48208, 48208, 48212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 495428, 0, 495428, 495428, 495428, 495428, 495428, 495428, 495428, 3430996, 0, 3430996, 3430996, 3430996, 3430996, 3430996, 3430996, 3430996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0160866, 2.32831e-10, 0.0160866, 0.0160866, 0.0160866, 0.0160866, 0.0160866, 0.0160866, 0.0160866, 7868.59, 0.000172633, 7868.59, 7868.59, 7868.59, 7868.59, 7868.59, 7868.59, 7868.59, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 10:16:50 EST 2017, 1, 2, 0.250, 2, 11.317, 0.0414849, 11.2878, 11.3462, 11.24, 11.29, 11.33, 11.35, 11.4, 49418.4, 1.95959, 49417, 49419.8, 49416, 49416, 49420, 49420, 49420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 919998, 0, 919998, 919998, 919998, 919998, 919998, 919998, 919998, 5390406, 0, 5390406, 5390406, 5390406, 5390406, 5390406, 5390406, 5390406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0126582, 2.85158e-10, 0.0126582, 0.0126582, 0.0126582, 0.0126582, 0.0126582, 0.0126582, 0.0126582, 12646.1, 0.000244141, 12646.1, 12646.1, 12646.1, 12646.1, 12646.1, 12646.1, 12646.1, 1, 0, 1, 1, 1, 1, 1, 1, 1
